iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
157,-93.1268,1,19.5608,24.7371,9.15513,0.122474,-0.356523,0.154211,2.00202,0.0314347,0.799508
158,-102.93,1,20.084,24.8784,9.19246,0.11934,-0.370194,0.154861,1.88549,0.0296442,0.752081
159,-106.095,1,21.5933,24.807,9.82942,0.115299,-0.442747,0.151555,1.90194,0.0303228,0.844999
160,-105.087,1,20.3463,24.7109,9.50765,0.115106,-0.393968,0.146716,1.8882,0.029643,0.899228
161,-101.988,1,20.4909,24.6061,10.4158,0.116977,-0.39534,0.147013,1.85361,0.0307298,0.917935
162,-102.459,1,21.2079,24.7843,9.97259,0.114061,-0.434962,0.157616,1.90129,0.0319964,0.924826
163,-106.086,1,21.1456,24.7009,10.848,0.111724,-0.4273,0.16842,1.80661,0.0282313,1.01913
164,-107.644,1,20.6881,24.6756,10.3221,0.114118,-0.407311,0.175155,1.67977,0.0305002,0.832893
165,-102.566,1,19.4991,24.7393,9.91277,0.114455,-0.359093,0.180984,1.77523,0.0297294,0.876549
166,-101.577,1,20.6732,24.6147,9.27293,0.115374,-0.416023,0.182061,1.74268,0.030139,0.894647
167,-97.286,1,19.6764,24.6161,9.56558,0.116836,-0.369126,0.177633,1.87031,0.030667,0.922909
168,-99.3523,1,19.8705,24.6335,10.7906,0.116997,-0.371243,0.173507,1.77074,0.0290311,0.915727
169,-101.322,1,19.1064,24.5012,9.83421,0.112792,-0.332323,0.174799,1.6296,0.0345133,0.94431
170,-97.379,1,19.1979,24.6074,9.2357,0.117771,-0.341671,0.176222,1.72531,0.0340751,0.854936
171,-101.904,1,19.9368,24.4986,9.72819,0.116238,-0.376289,0.165976,1.634,0.0337927,0.864084
172,-99.6226,1,20.136,24.5645,10.9023,0.120611,-0.378601,0.146375,1.94332,0.0358923,0.689136
173,-96.8408,1,18.5442,24.4279,10.3396,0.121535,-0.309306,0.144845,2.05928,0.0390401,0.655535
174,-90.8245,1,19.6579,24.4368,9.84143,0.120252,-0.365621,0.160977,2.26417,0.0382478,0.709763
175,-91.1325,1,19.6923,24.49,10.3964,0.120309,-0.357442,0.161991,2.23179,0.036657,0.715807
176,-90.7422,1,19.7097,24.3543,9.99495,0.122977,-0.36685,0.173805,2.24633,0.030723,0.680042
177,-101.858,1,20.9175,24.4763,9.67064,0.120655,-0.414869,0.165324,1.88818,0.0281093,0.717726
178,-107.282,1,20.3323,24.4205,10.4909,0.118462,-0.390821,0.161425,1.78326,0.0296168,0.68708
179,-102.354,1,19.5761,24.5563,10.2329,0.123488,-0.357124,0.158633,1.76862,0.0279589,0.700889
180,-103.834,1,18.6857,24.5819,9.87817,0.12352,-0.304803,0.151691,1.83904,0.0298578,0.630031
181,-105.555,1,20.2375,24.5695,10.7229,0.121122,-0.383635,0.161287,1.73838,0.0299571,0.653682
182,-115.299,1,20.1229,24.5689,10.8677,0.119099,-0.383427,0.159423,1.79732,0.0259061,0.597513
183,-123.099,1,20.4111,24.7112,11.425,0.113655,-0.379282,0.157657,1.93501,0.025693,0.556472
184,-120.855,1,20.4716,24.7076,11.7727,0.117011,-0.381058,0.165368,1.83648,0.0244987,0.549849
185,-117.765,1,21.1571,24.839,11.6096,0.11839,-0.404766,0.162647,1.83522,0.0224707,0.616356
186,-117.949,1,20.3595,24.8,10.3792,0.117584,-0.372307,0.160582,1.63091,0.0244965,0.672431
187,-125.115,1,21.1697,24.7317,10.858,0.119038,-0.406605,0.164693,1.49282,0.0208685,0.602239
188,-121.242,1,21.3961,24.7298,11.1025,0.119375,-0.414651,0.151015,1.52011,0.0237436,0.63964
189,-116.189,1,21.1449,24.8387,11.883,0.119962,-0.403009,0.155839,1.56311,0.0244268,0.717615
190,-102.422,1,20.7931,24.9392,11.2109,0.125021,-0.389228,0.1657,1.73731,0.0262197,0.646158
191,-106.265,1,19.8467,24.8752,10.3187,0.120913,-0.360603,0.160019,1.65854,0.0286507,0.70942
192,-101.934,1,20.9997,24.9217,10.6212,0.121394,-0.407098,0.159544,1.75588,0.0336391,0.652929
193,-105.198,1,19.153,24.8295,9.38362,0.1249,-0.333565,0.163502,1.43014,0.0303032,0.656565
194,-102.433,1,18.2281,24.8863,9.14734,0.122868,-0.29308,0.164143,1.47001,0.033321,0.708087
195,-104.97,1,17.4727,24.9221,8.51653,0.123792,-0.246053,0.165416,1.41782,0.0339811,0.620173
196,-100.778,1,17.5427,24.7482,8.46396,0.125599,-0.2622,0.171481,1.47355,0.0358343,0.570296
197,-111.051,1,17.6892,24.6965,8.6412,0.121105,-0.25911,0.166285,1.56856,0.0330937,0.543407
198,-111.776,1,19.417,24.792,8.96446,0.122564,-0.347161,0.168592,1.76427,0.0256684,0.560626
199,-119.197,1,18.7893,24.8166,8.90038,0.11557,-0.31913,0.165349,1.84157,0.0265353,0.569679
200,-116.867,1,18.7554,24.8035,8.84365,0.116787,-0.323353,0.163525,1.88254,0.0253412,0.593772
201,-118.217,1,18.6017,24.7242,8.84525,0.11679,-0.320391,0.169674,1.86188,0.0235308,0.59077
202,-112.312,1,17.3039,24.7431,8.75275,0.118484,-0.247439,0.168011,1.87191,0.0264377,0.628074
203,-108.813,1,18.5791,24.7747,9.37964,0.124262,-0.297477,0.163525,1.65702,0.0271604,0.551198
204,-104.401,1,19.6236,24.7228,9.82444,0.125108,-0.35573,0.166771,1.83267,0.0289458,0.528451
205,-99.9531,1,19.28,24.715,9.35065,0.127025,-0.343668,0.170726,1.80252,0.0295036,0.5511
206,-102.538,1,19.2128,24.7227,10.2999,0.126611,-0.334169,0.165491,1.83914,0.0255675,0.60056
207,-111.479,1,18.7288,24.778,9.6396,0.122097,-0.321257,0.167708,1.74051,0.023461,0.624374
208,-109.941,1,20.3556,24.68,9.41125,0.121402,-0.396359,0.159299,1.8577,0.0265054,0.604986
209,-106.501,1,20.2278,24.6912,9.13958,0.12208,-0.384108,0.161837,1.75703,0.0262693,0.685716
210,-111.158,1,19.3174,24.7754,9.90678,0.119612,-0.344846,0.159778,1.81771,0.0227058,0.750046
211,-113.904,1,20.0418,24.8123,10.3185,0.118613,-0.376029,0.16109,1.77263,0.0215072,0.76621
212,-121.442,1,21.0303,24.8919,10.0408,0.116156,-0.429356,0.158048,1.70845,0.020719,0.734258
213,-130.684,1,21.0521,24.8776,10.4043,0.114346,-0.423452,0.160563,1.60821,0.0191658,0.696857
214,-124.443,1,19.9986,24.9124,9.86165,0.11364,-0.369915,0.175822,1.64149,0.0205732,0.729345
215,-107.636,1,20.4237,24.9531,9.66251,0.119229,-0.393294,0.170608,1.71886,0.0263421,0.753324
216,-99.9109,1,20.1789,24.9659,9.17448,0.118465,-0.388079,0.17584,1.76111,0.0296389,0.869329
217,-105.567,1,19.9265,25.0925,10.8036,0.115964,-0.358147,0.17033,1.7726,0.0297989,0.802362
218,-96.5965,1,20.2017,25.0681,11.113,0.118309,-0.385325,0.175218,2.10719,0.025298,0.924502
219,-86.8895,1,18.7982,24.9481,10.3017,0.122578,-0.336174,0.171516,2.1583,0.0299123,0.824878
220,-95.5574,1,19.6957,25.0053,10.2127,0.123679,-0.369114,0.159546,2.28934,0.0275985,0.715566
221,-96.696,1,20.0609,24.9394,8.83232,0.128894,-0.395959,0.134217,2.20848,0.0259019,0.666509
222,-105.764,1,19.3451,25.0042,9.46333,0.123825,-0.353878,0.151428,1.94768,0.0251264,0.653464
223,-109.871,1,20.6279,24.9573,8.54973,0.122394,-0.40925,0.166317,1.54691,0.02468,0.706378
224,-116.073,1,21.1981,24.8969,9.51721,0.123061,-0.422902,0.152749,1.65091,0.0212414,0.656084
