iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
165,405.138,1,19.6196,22.7979,11.6791,1.62948,-0.324539,0.254123,0.650102,0.208444,0.805213
166,410.891,1,19.6531,22.5177,12.188,1.68488,-0.327661,0.26083,0.669245,0.199215,0.791755
167,411.88,1,20.1202,22.482,12.1204,1.67072,-0.35257,0.260348,0.737407,0.213524,0.738406
168,411.245,1,20.1386,22.502,12.0407,1.66175,-0.363888,0.2472,0.778626,0.216293,0.735615
169,412.625,1,19.7144,22.1311,11.617,1.64449,-0.338486,0.247046,0.789133,0.222227,0.777856
170,415.41,1,19.7081,22.0533,12.0961,1.65342,-0.341513,0.259452,0.814447,0.222189,0.761362
171,417.553,1,19.6189,21.9205,12.4132,1.66562,-0.330633,0.259959,0.790166,0.226232,0.790247
172,412.587,1,20.0773,22.0013,12.8303,1.65232,-0.347998,0.255481,0.752763,0.235272,0.71787
173,407.807,1,19.3439,21.9947,12.3608,1.58424,-0.318479,0.254994,0.818079,0.234816,0.733849
174,410.596,1,18.8877,22.0078,11.9023,1.59362,-0.293915,0.253505,0.807975,0.242522,0.764183
175,409.014,1,18.9384,21.8405,12.3739,1.61157,-0.298181,0.249993,0.740398,0.258659,0.711139
176,420.693,1,19.5217,21.7259,11.7259,1.69118,-0.326621,0.253891,0.761249,0.255382,0.753898
177,417.644,1,19.7992,21.9971,11.9297,1.68906,-0.339268,0.249035,0.713192,0.246934,0.770695
178,412.86,1,19.2254,21.8658,12.1424,1.67386,-0.31208,0.244845,0.728167,0.241183,0.710903
179,418.553,1,19.4611,22.0837,11.6059,1.67762,-0.326491,0.253796,0.713615,0.247611,0.81062
180,421.149,1,18.9921,22.1338,11.9007,1.68479,-0.299373,0.254968,0.749286,0.258904,0.784678
181,421.847,1,18.7639,21.9885,12.7076,1.65546,-0.293006,0.253531,0.766084,0.273432,0.825593
182,418.026,1,19.6224,22.5382,11.4476,1.63878,-0.328654,0.262675,0.716034,0.277259,0.797001
183,413.356,1,19.1689,22.4579,12.2704,1.63903,-0.311463,0.255549,0.676283,0.282207,0.723822
184,405.827,1,18.2987,22.3299,12.5999,1.59445,-0.275291,0.249325,0.651311,0.266791,0.744827
185,409.521,1,19.1503,22.8993,12.3023,1.63855,-0.315712,0.244151,0.635385,0.262895,0.761848
186,418.507,1,19.9606,22.6515,12.1588,1.72366,-0.353002,0.251825,0.67612,0.251779,0.717374
187,412.299,1,18.6372,22.6328,12.2539,1.67534,-0.287014,0.252973,0.646558,0.256154,0.704447
188,409.899,1,18.8038,22.6222,12.3552,1.61565,-0.292357,0.258841,0.652135,0.25066,0.805779
189,407.701,1,19.6173,22.5055,12.7239,1.56847,-0.33313,0.252933,0.738696,0.256706,0.784321
190,409.433,1,19.4468,22.7361,12.1224,1.60732,-0.316431,0.257585,0.71244,0.238093,0.785823
191,407.689,1,20.2103,22.7648,11.9939,1.64569,-0.363764,0.250088,0.636862,0.230151,0.769678
192,410.33,1,19.8256,22.6668,12.1449,1.62402,-0.348344,0.249996,0.714913,0.22668,0.830351
193,408.924,1,19.4564,22.6337,11.8194,1.63346,-0.322025,0.25383,0.613112,0.233077,0.855987
194,404.584,1,20.1232,22.6363,12.3179,1.63373,-0.353084,0.259229,0.610494,0.212729,0.794018
195,404.823,1,19.7788,22.4917,12.0591,1.61489,-0.339165,0.25203,0.64387,0.21704,0.815565
196,406.935,1,19.8193,22.2514,12.3575,1.60555,-0.346865,0.25452,0.692133,0.236638,0.764139
197,404.76,1,19.808,22.0056,12.4739,1.6391,-0.336673,0.247068,0.70314,0.201174,0.759951
198,409.305,1,19.4046,22.0797,12.6647,1.66805,-0.314751,0.253008,0.700796,0.206822,0.752969
199,403.281,1,19.6094,22.0887,11.8842,1.63775,-0.335759,0.246677,0.639496,0.205986,0.779415
200,406.205,1,18.8514,21.9248,12.7049,1.69619,-0.306073,0.241489,0.620363,0.204788,0.733558
201,403.509,1,19.4049,21.9959,12.5704,1.66181,-0.328286,0.255092,0.606829,0.2056,0.734208
202,402.123,1,19.7753,22.0215,12.7323,1.67368,-0.349316,0.250127,0.676248,0.190653,0.663418
203,396.561,1,19.1787,21.909,13.2764,1.62327,-0.317843,0.251328,0.636498,0.197792,0.67662
204,398.021,1,19.1334,21.8819,12.8,1.64352,-0.31182,0.245034,0.610657,0.206241,0.673966
205,403.786,1,19.7847,21.7032,12.3403,1.65667,-0.343551,0.250037,0.651226,0.215958,0.682371
206,416.345,1,19.7197,21.778,12.8802,1.75414,-0.350162,0.243755,0.659341,0.2378,0.675627
207,413.099,1,19.6894,22.0139,12.2274,1.71587,-0.347887,0.251618,0.661492,0.232543,0.688968
208,417.231,1,20.1103,21.8948,12.2842,1.77774,-0.364796,0.254579,0.640612,0.22763,0.661345
209,412.487,1,20.0148,21.6775,12.631,1.68514,-0.347642,0.263803,0.703042,0.232633,0.672087
210,405.098,1,19.6084,21.9201,12.435,1.65363,-0.337722,0.256258,0.636624,0.231854,0.669853
