pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
,,48.5461,0.654444,,,All
,,49.8088,0.655556,,,All
,,51.1981,0.656667,,,All
,,52.4612,0.657778,,,All
,,52.7777,0.658889,,,All
,,52.8725,0.66,,,All
,,52.874,0.661111,,,All
,,52.9611,0.662222,,,All
,,53.1115,0.663333,,,All
,,53.2846,0.664444,,,All
,,53.2968,0.665556,,,All
,,53.3949,0.666667,,,All
,,55.0826,0.667778,,,All
,,55.2303,0.668889,,,All
,,55.3024,0.67,,,All
,,55.3633,0.671111,,,All
,,55.3717,0.672222,,,All
,,55.3945,0.673333,,,All
,,55.4087,0.674444,,,All
,,55.455,0.675556,,,All
,,55.499,0.676667,,,All
,,55.5334,0.677778,,,All
,,57.7484,0.678889,,,All
,,57.8963,0.68,,,All
,,58.4308,0.681111,,,All
,,58.5499,0.682222,,,All
,,58.7069,0.683333,,,All
,,58.7784,0.684444,,,All
,,58.8057,0.685556,,,All
,,58.954,0.686667,,,All
,,59.1207,0.687778,,,All
,,59.2863,0.688889,,,All
,,59.2941,0.69,,,All
,,59.416,0.691111,,,All
,,59.4255,0.692222,,,All
,,59.4508,0.693333,,,All
,,59.4589,0.694444,,,All
,,59.4667,0.695556,,,All
,,59.5041,0.696667,,,All
,,59.5241,0.697778,,,All
,,59.6383,0.698889,,,All
,,59.651,0.7,,,All
,,65.1735,0.701111,,,All
,,65.6854,0.702222,,,All
,,65.7185,0.703333,,,All
,,65.7259,0.704444,,,All
,,65.839,0.705556,,,All
,,65.9093,0.706667,,,All
,,66.0053,0.707778,,,All
,,66.087,0.708889,,,All
,,66.146,0.71,,,All
,,66.3914,0.711111,,,All
,,66.4183,0.712222,,,All
,,66.451,0.713333,,,All
,,66.4749,0.714444,,,All
,,66.5873,0.715556,,,All
,,66.6124,0.716667,,,All
,,66.6245,0.717778,,,All
,,66.7961,0.718889,,,All
,,66.8225,0.72,,,All
,,66.8796,0.721111,,,All
,,67.0433,0.722222,,,All
,,67.0468,0.723333,,,All
,,67.0736,0.724444,,,All
,,67.0826,0.725556,,,All
,,67.1722,0.726667,,,All
,,67.5565,0.727778,,,All
,,67.5574,0.728889,,,All
,,67.6644,0.73,,,All
,,67.746,0.731111,,,All
,,68.0041,0.732222,,,All
,,69.2644,0.733333,,,All
,,70.3933,0.734444,,,All
,,71.0899,0.735556,,,All
,,71.1773,0.736667,,,All
,,71.3438,0.737778,,,All
,,71.5009,0.738889,,,All
,,71.519,0.74,,,All
,,71.5228,0.741111,,,All
,,71.6274,0.742222,,,All
,,71.675,0.743333,,,All
,,71.7182,0.744444,,,All
,,71.7662,0.745556,,,All
,,71.7783,0.746667,,,All
,,72.0145,0.747778,,,All
,,72.0517,0.748889,,,All
,,72.0619,0.75,,,All
,,72.062,0.751111,,,All
,,72.0678,0.752222,,,All
,,72.071,0.753333,,,All
,,72.0807,0.754444,,,All
,,72.0823,0.755556,,,All
,,72.0855,0.756667,,,All
,,72.0994,0.757778,,,All
,,72.1068,0.758889,,,All
,,72.1082,0.76,,,All
,,72.1113,0.761111,,,All
,,72.1432,0.762222,,,All
,,72.1528,0.763333,,,All
,,72.1719,0.764444,,,All
,,72.2832,0.765556,,,All
,,72.4675,0.766667,,,All
,,72.5792,0.767778,,,All
,,72.5794,0.768889,,,All
,,72.6516,0.77,,,All
,,72.8629,0.771111,,,All
,,72.9109,0.772222,,,All
,,72.9142,0.773333,,,All
,,72.9405,0.774444,,,All
,,73.0846,0.775556,,,All
,,73.1475,0.776667,,,All
,,73.1618,0.777778,,,All
,,73.181,0.778889,,,All
,,73.284,0.78,,,All
,,73.293,0.781111,,,All
,,73.3202,0.782222,,,All
,,73.4451,0.783333,,,All
,,73.4973,0.784444,,,All
,,73.5358,0.785556,,,All
,,73.7838,0.786667,,,All
,,73.9185,0.787778,,,All
,,73.9634,0.788889,,,All
,,73.9797,0.79,,,All
,,74.0202,0.791111,,,All
,,74.1177,0.792222,,,All
,,74.1294,0.793333,,,All
,,74.2165,0.794444,,,All
,,74.2222,0.795556,,,All
,,74.5794,0.796667,,,All
,,74.7883,0.797778,,,All
,,74.8852,0.798889,,,All
,,75.1226,0.8,,,All
,,75.1431,0.801111,,,All
,,75.1943,0.802222,,,All
,,75.3,0.803333,,,All
,,75.3636,0.804444,,,All
,,75.4172,0.805556,,,All
,,75.4208,0.806667,,,All
,,75.5121,0.807778,,,All
,,75.515,0.808889,,,All
,,75.5863,0.81,,,All
,,75.9647,0.811111,,,All
,,76.8545,0.812222,,,All
,,77.2785,0.813333,,,All
,,77.2993,0.814444,,,All
,,77.4368,0.815556,,,All
,,77.5972,0.816667,,,All
,,77.7293,0.817778,,,All
,,77.9656,0.818889,,,All
,,78.0414,0.82,,,All
,,78.1298,0.821111,,,All
,,78.8402,0.822222,,,All
,,84.4126,0.823333,,,All
,,85.0421,0.824444,,,All
,,85.0596,0.825556,,,All
,,85.1462,0.826667,,,All
,,85.2542,0.827778,,,All
,,85.4857,0.828889,,,All
