time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
-10.1723,22.7566,4.61303,9.0349,12.9492,16.6083,20.5388,24.9994,30.1872,36.7343,45.5215,63.1018,All
-9.9799,21.8586,4.26227,8.49612,12.2664,15.8328,19.7207,24.075,29.2163,35.6089,44.3114,62.0385,All
-9.78746,21.0261,3.93122,8.00251,11.6003,15.1173,18.8807,23.1726,28.2636,34.5226,43.2071,60.8466,All
-9.59503,20.2191,3.64846,7.55473,10.9798,14.4443,18.1415,22.3451,27.4077,33.5484,42.1648,59.6132,All
-9.40259,19.4792,3.39469,7.14191,10.4221,13.8141,17.4803,21.533,26.5862,32.6067,41.1257,58.2723,All
-9.21015,18.7605,3.15331,6.73462,9.89742,13.1994,16.7544,20.7546,25.7452,31.7056,40.1484,57.0541,All
-9.01772,18.0731,2.93412,6.33793,9.45931,12.6173,16.0704,20.0773,24.919,30.8145,38.9816,55.841,All
-8.82528,17.3902,2.73052,5.97447,8.99194,12.0711,15.4777,19.3475,24.1434,30.0091,37.8898,54.778,All
-8.63284,16.7541,2.54093,5.64183,8.56203,11.5125,14.863,18.6566,23.4,29.1277,37.0086,53.6727,All
-8.44041,16.0841,2.37759,5.31725,8.16376,11.0123,14.2578,18.022,22.6128,28.2488,36.1251,52.7775,All
-8.24797,15.4537,2.21753,5.0211,7.79669,10.4973,13.6936,17.3701,21.8972,27.4292,35.3321,51.8848,All
-8.05553,14.905,2.04079,4.74014,7.40466,10.0189,13.194,16.7794,21.2086,26.5923,34.4767,50.862,All
-7.8631,64.1496,36.4006,44.0794,50.4495,55.9692,61.3374,67.5066,74.101,82.6511,94.5425,119.576,All
-7.67066,110.77,65.9157,79.0279,88.734,97.511,106.176,115.662,126.768,139.699,157.096,195.03,All
-7.47822,124.002,77.3659,91.116,101.439,110.438,119.555,128.559,139.396,152.782,169.778,203.13,All
-7.28579,101.391,62.4261,74.6914,82.8483,90.5167,97.7702,105.456,114.089,124.915,139.926,167.708,All
-7.09335,88.2726,52.8649,63.9191,71.6678,78.0095,84.9867,91.7304,99.3674,108.705,121.972,147.902,All
-6.90091,78.9611,44.9377,55.9355,63.5596,69.6556,75.7919,82.1694,89.2426,97.6148,109.921,135.009,All
-6.70848,71.8674,38.3764,49.7286,57.0979,63.3542,68.9888,74.9813,81.6824,90.02,101.787,125.09,All
-6.51604,66.4165,33.5053,44.6765,51.7749,57.9056,63.5644,69.2412,75.9156,84.4265,95.5237,118.449,All
-6.3236,61.7596,29.6423,40.3676,47.572,53.443,59.0966,64.6693,71.3731,79.4992,90.6366,112.647,All
-6.13117,57.8775,26.4233,36.7952,43.6355,49.6119,55.3767,60.8096,67.5779,75.3629,86.284,107.92,All
-5.93873,54.5903,23.7279,33.5677,40.3373,46.2216,51.9878,57.4275,63.9585,71.9523,82.5354,103.573,All
