iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
193,360.579,1,20.9441,40.8795,36.7694,38.754,1.16565,2.22045e-16,0.383852,1.35871,0.492487,1.08664
194,359.786,1,20.9462,41.4366,36.6934,37.5638,1.1642,2.22045e-16,0.386299,1.3243,0.495146,1.0982
195,364.084,1,20.9875,41.3041,36.8195,39.8012,1.19901,2.22045e-16,0.383595,1.29261,0.482609,1.07852
196,358.631,1,20.8143,44.3852,36.9107,41.4567,1.16028,2.22045e-16,0.386639,1.31796,0.470471,1.09406
197,361.602,1,20.8255,43.6191,37.041,40.2669,1.19674,2.22045e-16,0.385935,1.28459,0.476744,1.06636
198,360.694,1,20.9285,42.4764,37.5972,43.0327,1.18559,2.22045e-16,0.390254,1.30675,0.464673,1.03935
199,358.472,1,20.9018,42.5514,37.3295,41.7266,1.17941,2.22045e-16,0.391906,1.27366,0.465095,1.01304
200,361.261,1,20.9164,41.1537,38.255,42.0808,1.20047,2.22045e-16,0.390821,1.24141,0.453318,1.04231
201,356.925,1,20.9582,41.2251,38.2538,41.5909,1.17097,2.22045e-16,0.389409,1.20998,0.455844,1.01954
202,357.324,1,20.9589,41.1048,38.1183,42.0919,1.17069,2.22045e-16,0.389088,1.21601,0.445283,1.05672
203,357.861,1,20.964,41.8033,37.7814,39.6272,1.17203,2.22045e-16,0.389503,1.21591,0.460833,1.03924
204,358.267,1,20.8721,43.4416,37.6886,41.1882,1.1712,2.22045e-16,0.395565,1.24453,0.473083,1.00583
205,357.134,1,20.9221,41.6756,37.554,41.2658,1.16944,2.22045e-16,0.39062,1.23755,0.460465,1.00493
206,361.545,1,20.8755,43.8414,37.0621,41.6575,1.19216,2.22045e-16,0.387588,1.23492,0.468893,1.05045
207,362.036,1,20.9309,43.4762,36.913,41.4957,1.18744,2.22045e-16,0.385656,1.27779,0.468609,1.09202
208,365.619,1,20.9285,45.1996,36.9557,39.4149,1.20951,2.22045e-16,0.383717,1.29788,0.473677,1.08494
209,365.799,1,20.8027,43.1215,37.0398,37.8641,1.21586,2.22045e-16,0.390695,1.23723,0.468028,1.08662
210,362.825,1,20.9587,44.8145,36.6716,40.4459,1.20558,2.22045e-16,0.388373,1.19431,0.462125,1.05783
211,364.187,1,20.9823,43.9712,36.705,39.6365,1.21342,2.22045e-16,0.385683,1.23039,0.46883,1.03179
212,368.775,1,20.8331,43.1973,37.3,42.4564,1.24172,2.22045e-16,0.387029,1.25547,0.461582,1.0459
213,364.261,1,20.8778,43.7659,37.2695,43.3612,1.20718,2.22045e-16,0.386576,1.28201,0.470857,1.03466
214,366.508,1,20.816,42.3408,37.1713,40.0157,1.22331,2.22045e-16,0.385091,1.23489,0.467488,1.07791
215,370.882,1,20.9521,41.2886,36.8351,38.8404,1.25479,2.22045e-16,0.384313,1.2333,0.492474,1.01847
216,369.294,1,20.9451,43.6562,36.9417,38.9341,1.23728,2.22045e-16,0.385244,1.3107,0.48813,1.01537
217,365.963,1,20.9307,41.8396,36.4476,40.2901,1.21113,2.22045e-16,0.385579,1.27485,0.493569,1.05575
218,362.239,1,20.8418,42.0628,36.2568,39.5674,1.18506,2.22045e-16,0.388307,1.28737,0.499438,1.03531
219,365.117,1,20.8392,41.4373,36.4074,39.1914,1.20457,2.22045e-16,0.386367,1.31138,0.488492,1.04275
220,360.62,1,20.8587,39.444,36.5049,35.6617,1.19289,2.22045e-16,0.391238,1.2615,0.496603,0.906337
221,364.219,1,20.8558,38.9514,36.3764,35.9236,1.20808,2.22045e-16,0.388176,1.25577,0.497581,0.987131
222,364.516,1,20.8706,38.0237,37.1725,35.378,1.20062,2.22045e-16,0.38635,1.29068,0.489726,1.05802
223,367.356,1,20.8129,38.8663,36.6757,39.4566,1.22635,2.22045e-16,0.386083,1.23762,0.46798,1.09404
224,371.936,1,20.878,38.4931,36.5947,37.627,1.25043,2.22045e-16,0.391934,1.27639,0.481523,1.07866
225,368.098,1,20.903,37.7094,36.947,37.3907,1.23169,2.22045e-16,0.387061,1.26131,0.486769,1.02441
226,366.293,1,20.8881,36.8319,37.2664,40.7803,1.21318,2.22045e-16,0.386532,1.18573,0.501247,1.11693
227,361.499,1,20.8926,37.189,37.5023,41.907,1.17553,2.22045e-16,0.391044,1.22228,0.518996,1.09358
228,366.054,1,20.9171,35.5137,37.2612,43.5049,1.20274,2.22045e-16,0.391972,1.26923,0.501636,1.11221
229,358.523,1,20.8339,37.5359,37.3298,42.4365,1.16543,2.22045e-16,0.388163,1.18486,0.481721,1.12734
