iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,c,omega_Cl,omega_Q,omega_V1,omega_V2
152,35.4693,1,13.5653,48.5048,20.9034,17.9833,1.67381,0.00225351,1.62483,0.256113,1.9677,6.3033e-08,0.658382
153,25.9553,1,13.4932,49.7006,20.9034,17.4192,1.67381,0.00211163,1.62483,0.257305,1.85027,5.09305e-08,0.69076
154,18.8708,1,13.5404,35.7355,20.9034,16.8596,1.67381,0.00221614,1.62483,0.259537,1.70169,4.48065e-08,0.684419
155,33.8626,1,13.3658,42.327,20.9034,17.9853,1.67381,0.00234455,1.62483,0.259665,1.63433,5.10169e-08,0.689677
156,22.8942,1,13.4727,46.3232,20.9034,16.3908,1.67381,0.0022005,1.62483,0.265011,1.57186,5.04217e-08,0.666688
157,25.4545,1,13.4543,43.4534,20.9034,17.7601,1.67381,0.00305103,1.62483,0.24823,1.42979,4.97422e-08,0.736951
158,17.2616,1,13.4798,35.6735,20.9034,17.7812,1.67381,0.00259833,1.62483,0.250838,1.39202,5.10098e-08,0.727848
159,14.8202,1,13.4694,35.4906,20.9034,17.193,1.67381,0.00216416,1.62483,0.255334,1.37103,5.40914e-08,0.655865
160,10.399,1,13.4926,35.7306,20.9034,17.0554,1.6738,0.00182,1.62483,0.26799,1.4257,5.56409e-08,0.655701
161,7.77268,1,13.4426,31.9068,20.9034,17.8155,1.6738,0.0018754,1.62483,0.256404,1.34884,4.99664e-08,0.688226
162,9.60599,1,13.3952,34.618,20.9034,17.8709,1.6738,0.00204327,1.62483,0.253644,1.40483,4.62489e-08,0.684695
163,19.6222,1,13.4645,32.6953,20.9034,16.5716,1.6738,0.00270298,1.62483,0.255887,1.3871,4.78632e-08,0.667661
164,24.0283,1,13.6504,35.6162,20.9034,16.2845,1.6738,0.00241058,1.62483,0.25514,1.44759,5.89389e-08,0.65814
165,18.8171,1,13.5131,38.2715,20.9034,16.9947,1.6738,0.00197624,1.62483,0.26197,1.53808,5.73268e-08,0.710042
166,13.0309,1,13.4987,36.1751,20.9034,17.8711,1.6738,0.00194219,1.62483,0.257992,1.50526,5.13697e-08,0.699245
167,11.2118,1,13.4578,35.6029,20.9034,17.3328,1.6738,0.0018385,1.62483,0.267756,1.57828,4.34808e-08,0.648157
168,13.1505,1,13.4474,35.2416,20.9034,17.274,1.6738,0.00210911,1.62483,0.268562,1.52898,4.38385e-08,0.677852
169,3.74308,1,13.525,35.6158,20.9034,16.7163,1.6738,0.00225785,1.62483,0.258556,1.47723,3.73525e-08,0.590622
170,4.78261,1,13.3942,40.1812,20.9034,16.5251,1.67379,0.00221531,1.62483,0.256181,1.67589,3.52808e-08,0.628148
171,7.48952,1,13.5666,37.774,20.9034,16.3516,1.67379,0.00209095,1.62483,0.264803,1.68944,3.84062e-08,0.6446
172,9.3503,1,13.4755,37.1953,20.9034,16.3343,1.67379,0.00203536,1.62483,0.264125,1.78766,3.7395e-08,0.658372
173,10.3807,1,13.5321,40.2574,20.9034,16.3898,1.67379,0.00204853,1.62483,0.255187,1.88801,3.81522e-08,0.625019
174,11.202,1,13.3825,37.2133,20.9034,15.9591,1.67379,0.00273126,1.62483,0.248745,1.84528,3.46311e-08,0.637403
175,8.01542,1,13.3107,44.4623,20.9034,16.2716,1.67379,0.00242972,1.62483,0.253474,1.69152,3.28065e-08,0.605843
176,1.94233,1,13.4424,41.121,20.9034,16.4723,1.67379,0.00234379,1.62483,0.264355,1.62969,2.79722e-08,0.601946
177,12.338,1,13.4671,37.3028,20.9034,16.912,1.67379,0.00322793,1.62483,0.254198,1.50049,2.86233e-08,0.637977
178,1.21154,1,13.4266,33.0381,20.9034,17.7282,1.67379,0.00256548,1.62483,0.253789,1.37174,3.07562e-08,0.59611
179,-2.78576,1,13.3559,32.8942,20.9034,17.1904,1.67378,0.00238359,1.62483,0.258784,1.45113,2.92605e-08,0.656797
180,-4.82404,1,13.4189,32.9296,20.9034,17.1525,1.67378,0.00220435,1.62483,0.258193,1.4772,3.05462e-08,0.612468
181,-6.71878,1,13.4249,30.5646,20.9034,17.3285,1.67378,0.00216454,1.62483,0.24887,1.44402,2.96895e-08,0.610587
182,-2.94342,1,13.4588,36.2826,20.9034,17.2971,1.67378,0.00195242,1.62483,0.252403,1.47352,3.22694e-08,0.643459
183,-11.8482,1,13.3243,37.9601,20.9034,17.733,1.67378,0.00176971,1.62483,0.258443,1.53178,2.98696e-08,0.627313
184,-9.65929,1,13.4828,39.5524,20.9034,17.6542,1.67378,0.00191126,1.62483,0.265471,1.55508,2.83867e-08,0.617826
185,6.3644,1,13.6335,44.7634,20.9034,16.8781,1.67378,0.00212803,1.62483,0.26292,1.61693,3.00169e-08,0.667466
186,6.72531,1,13.5262,48.1051,20.9034,16.048,1.67378,0.00216532,1.62483,0.260491,1.83633,2.86793e-08,0.639615
187,3.44287,1,13.4552,46.837,20.9034,16.7055,1.67378,0.00221612,1.62483,0.254529,1.70204,2.71843e-08,0.634491
188,-0.406521,1,13.5351,42.553,20.9034,15.8683,1.67378,0.00213217,1.62483,0.265692,1.7239,2.60852e-08,0.690537
189,-3.78663,1,13.6195,48.0949,20.9034,15.854,1.67378,0.00188258,1.62483,0.264266,1.72064,2.58261e-08,0.623847
190,0.349257,1,13.5333,43.2173,20.9034,16.73,1.67378,0.00230107,1.62483,0.263678,1.68691,2.5008e-08,0.624258
191,0.441205,1,13.4973,43.8866,20.9034,16.9379,1.67378,0.00196217,1.62483,0.264975,1.60977,2.60521e-08,0.639757
192,4.64681,1,13.6326,39.5237,20.9034,16.5339,1.67378,0.00219643,1.62483,0.26099,1.62832,2.7771e-08,0.661563
193,7.58837,1,13.3741,35.504,20.9034,16.3083,1.67378,0.00226091,1.62483,0.251571,1.72215,2.75559e-08,0.690543
194,7.56404,1,13.5161,38.584,20.9034,17.5462,1.67377,0.00232455,1.62483,0.261603,1.84148,2.71216e-08,0.641533
195,6.90183,1,13.4349,41.2197,20.9034,17.3488,1.67377,0.00242924,1.62483,0.25997,1.89251,2.81601e-08,0.642584
196,-2.0306,1,13.398,39.6039,20.9034,17.1074,1.67377,0.00223223,1.62483,0.253106,1.85071,2.78656e-08,0.675918
197,2.08805,1,13.379,39.0213,20.9034,16.1078,1.67377,0.00241841,1.62483,0.255236,1.67222,2.63063e-08,0.632608
198,0.872796,1,13.3354,41.3881,20.9034,15.6591,1.67377,0.00223551,1.62483,0.25863,1.80647,2.49777e-08,0.624151
199,-5.91394,1,13.6016,47.2561,20.9034,16.0047,1.67377,0.002112,1.62483,0.262438,1.66572,2.3e-08,0.624957
200,3.37023,1,13.6988,38.3869,20.9034,16.5421,1.67377,0.00243973,1.62483,0.262432,1.61467,2.25898e-08,0.595925
