iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
160,478.148,1,13.5119,19.3964,25.4047,12.8651,1.46492,0.05313,0.255654,1.23862,0.252219,0.941844
161,478.063,1,13.4083,19.3766,24.8515,14.1703,1.46496,0.0534669,0.258873,1.24916,0.227181,0.940848
162,467.687,1,13.4859,19.5721,25.0039,14.0988,1.38582,0.0505377,0.261157,1.20194,0.228189,0.989181
163,461.752,1,13.539,18.4011,24.9359,14.4273,1.43577,0.0423635,0.261104,1.24249,0.227149,1.0367
164,467.678,1,13.5504,20.2416,25.013,12.7725,1.28872,0.0544524,0.258804,1.23939,0.229208,1.02615
165,473.414,1,13.4785,19.8797,24.9612,12.2528,1.31239,0.0545749,0.260345,1.27272,0.236805,1.07421
166,470.052,1,13.5232,19.017,24.7009,14.0429,1.41868,0.0472801,0.259753,1.2333,0.247642,1.03142
167,468.255,1,13.4779,16.9686,25.3388,14.0793,1.46725,0.0442245,0.260204,1.18883,0.253586,1.01284
168,457.88,1,13.4829,18.2116,25.0043,13.5236,1.42389,0.0442077,0.263096,1.09771,0.229467,0.944019
169,461.939,1,13.5306,19.9321,25.0265,12.9935,1.30299,0.0524323,0.256416,0.978013,0.250857,1.04837
170,458.371,1,13.4622,21.3996,25.5026,13.5534,1.25238,0.0527878,0.251844,1.00978,0.243035,1.06306
171,464.426,1,13.4256,18.5113,25.4375,13.3262,1.36612,0.0481612,0.256104,1.09744,0.247189,1.07139
172,460.513,1,13.5408,18.3648,25.2581,14.6895,1.38716,0.0465881,0.265248,1.05288,0.25255,0.965148
173,459.683,1,13.5072,20.4786,24.769,13.286,1.33813,0.0477445,0.260059,1.02366,0.260141,1.01954
174,467.454,1,13.479,22.5087,24.5524,12.5567,1.36551,0.0509975,0.258491,1.07831,0.247231,1.03793
175,463.213,1,13.5631,24.7453,24.7803,11.9129,1.48673,0.043744,0.264172,1.01388,0.23693,1.03006
176,464.983,1,13.5501,24.6919,24.5601,11.6752,1.54561,0.0406496,0.269599,1.12063,0.218316,1.02996
177,469.192,1,13.5795,25.1655,24.5224,12.1408,1.5456,0.0404835,0.27305,1.20171,0.230003,1.04808
178,459.884,1,13.5667,21.5184,24.3906,12.3299,1.61313,0.0355746,0.249628,1.07888,0.220508,1.01937
179,468,1,13.4874,23.9104,24.2739,12.4484,1.61321,0.0405482,0.258215,1.09924,0.227653,1.01406
180,467.609,1,13.4512,22.5786,24.1554,11.8737,1.63648,0.0399376,0.256658,1.10546,0.236433,0.899827
181,465.989,1,13.3927,20.5752,23.964,12.7341,1.6188,0.0408102,0.252572,1.0417,0.253597,0.857493
182,464.214,1,13.5609,22.1417,24.1096,11.9144,1.54177,0.0434675,0.262032,1.06304,0.239189,0.894527
183,462.905,1,13.7749,25.3986,23.885,12.5846,1.54173,0.0431997,0.267162,1.11233,0.219377,0.930019
184,467.815,1,13.5514,23.2999,23.9372,13.3769,1.56562,0.0434063,0.262316,1.04317,0.239311,0.961405
185,466.951,1,13.6649,22.7226,24.55,12.9712,1.51899,0.0433438,0.26809,1.17974,0.23417,0.947525
186,459.489,1,13.6152,21.5114,23.7254,13.818,1.48543,0.0404263,0.2626,1.12812,0.237783,0.962875
187,453.939,1,13.5114,22.6177,23.4181,13.9078,1.48539,0.0400817,0.257197,1.07309,0.220289,0.959839
188,444.452,1,13.5975,23.9393,23.8395,13.2217,1.43544,0.0375645,0.256764,1.02555,0.238801,0.86998
189,449.878,1,13.5849,26.1371,23.4785,14.4396,1.51834,0.0363639,0.26671,1.08434,0.223261,0.846821
190,446.523,1,13.5571,28.9191,23.4158,14.5448,1.47758,0.0360882,0.269757,1.06608,0.248347,0.780019
191,448.477,1,13.4841,28.0484,23.7416,14.7682,1.47764,0.0386128,0.258369,1.08588,0.238664,0.787786
192,456.276,1,13.5079,27.0835,23.3985,14.1026,1.53825,0.0414736,0.263598,1.00183,0.251253,0.760008
193,452.789,1,13.5096,29.6424,22.9534,14.0354,1.48028,0.0435219,0.253896,0.974973,0.233998,0.816189
194,448.873,1,13.4978,29.241,23.7638,14.3106,1.41525,0.046211,0.25639,0.914537,0.244741,0.758178
195,453.633,1,13.5476,29.3576,23.8674,14.0983,1.46836,0.0459362,0.255692,0.927484,0.239986,0.792747
196,454.976,1,13.5381,29.8942,23.1157,14.2192,1.51586,0.0413249,0.259131,0.931657,0.250038,0.850265
197,456.253,1,13.557,31.6698,23.1942,13.3787,1.5759,0.0406795,0.251193,0.867672,0.280637,0.778688
198,460.813,1,13.6386,33.3959,22.7971,13.2766,1.57592,0.0404296,0.26703,0.920718,0.274212,0.809405
