iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_logtWTKG,beta_Cl_tSCRMGDL,beta_Q_logtWTKG,beta_V2_logtWTKG,omega_Cl,omega_Q,omega_V1,omega_V2
159,462.64,1,22.7018,25.3181,11.7223,1.4014,0.0565803,1.13071,-0.491419,1.47897,-4.40516,0.190297,1.08783,0.225295,0.990994
160,458.283,1,22.5263,25.1406,11.5372,1.40134,0.0545098,1.03266,-0.49032,1.24676,-3.74828,0.186619,1.08113,0.227497,0.965901
161,462.569,1,22.9595,24.5326,13.6668,1.44155,0.0582093,1.01193,-0.511248,1.6344,-3.37244,0.183598,1.07849,0.221736,0.941444
162,464.04,1,22.6298,25.1093,13.6935,1.4415,0.0561693,1.17678,-0.494279,2.21333,-3.39257,0.185126,1.05119,0.219967,1.04596
163,448.56,1,22.9962,24.4687,12.9164,1.37322,0.0534148,1.14455,-0.51226,2.1869,-2.89012,0.185952,1.02457,0.214397,1.01948
164,461.035,1,22.9027,24.6105,11.4752,1.37962,0.0573081,1.09726,-0.502698,1.59086,-3.17759,0.18337,1.05937,0.223624,0.993666
165,462.581,1,21.7773,24.5552,11.7719,1.43046,0.0529912,1.07813,-0.458273,1.78101,-3.33242,0.192565,1.03394,0.247005,0.969894
166,455.561,1,22.1186,24.631,12.6502,1.4304,0.0500898,1.05774,-0.476057,1.54072,-3.51865,0.189141,1.03673,0.255973,0.945336
167,458.873,1,22.4102,25.8075,12.8429,1.4247,0.0518618,1.15176,-0.482683,2.02942,-4.30179,0.184352,1.13726,0.249491,0.921399
168,461.313,1,22.5491,25.3671,11.91,1.45161,0.0549157,1.09954,-0.490742,0.619428,-4.72915,0.186941,1.10846,0.243174,0.921263
169,461.746,1,22.1365,24.9546,11.7719,1.3596,0.0576486,1.0833,-0.469201,0.58385,-4.04687,0.193615,1.08039,0.243214,0.962319
170,460.027,1,22.9316,25.1392,12.6188,1.24267,0.0595988,1.18951,-0.509654,0.730592,-4.92246,0.188713,1.08959,0.261867,0.942078
171,458.837,1,22.718,25.1712,12.4154,1.29459,0.0586728,1.08927,-0.497847,2.19058,-4.35618,0.183934,1.062,0.257606,0.938215
172,456.463,1,22.9993,25.3842,13.6321,1.31372,0.0594874,1.12669,-0.505851,1.42985,-3.81395,0.188866,1.03511,0.279693,0.914459
173,458.251,1,22.2071,25.1775,12.6419,1.27202,0.0629051,1.00313,-0.48943,1.19517,-4.65775,0.184084,1.0089,0.286452,0.891305
174,455.843,1,22.5178,25.5218,11.6817,1.20842,0.0597598,0.98216,-0.49465,1.75304,-3.49077,0.182634,0.983354,0.284816,0.933439
175,463.48,1,22.6027,25.3921,12.235,1.37859,0.053606,0.977193,-0.495621,1.10882,-3.93706,0.190712,0.999413,0.291645,0.974589
176,463.032,1,22.3693,25.0308,12.059,1.37855,0.0534898,1.07373,-0.485696,0.707515,-3.39586,0.188157,1.01665,0.28426,1.01272
