iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
148,-0.102551,1,15.8321,47.5732,21.7629,14.9685,1.46655,0.0454791,0.225046,1.58025,8.23976e-08,0.565998
149,7.46813,1,15.7324,43.4785,21.7629,14.8177,1.5039,0.0444419,0.234743,1.57333,8.64823e-08,0.617073
150,1.63949,1,15.7988,41.6128,21.7629,15.7141,1.50388,0.0437854,0.232805,1.38879,8.64196e-08,0.617856
151,-1.2044,1,15.9893,38.1619,21.7629,16.1609,1.45961,0.0491764,0.235182,1.34829,7.3412e-08,0.602825
152,4.61794,1,15.7538,42.5505,21.7629,15.926,1.41748,0.0532342,0.236944,1.43859,7.4682e-08,0.618932
153,6.70313,1,15.8621,39.2913,21.7629,16.5646,1.42142,0.0561607,0.231219,1.37999,7.73096e-08,0.61508
154,16.8955,1,15.6951,40.0855,21.7629,15.2267,1.4793,0.0594992,0.220579,1.57703,7.96961e-08,0.56562
155,9.07332,1,15.8555,47.656,21.7629,14.7212,1.41165,0.0567083,0.222894,1.60586,7.88873e-08,0.57262
156,15.5344,1,15.9559,50.2557,21.7629,14.5556,1.42929,0.0550228,0.226962,1.68599,8.84479e-08,0.612035
157,16.2251,1,15.9661,44.3938,21.7629,14.1477,1.52146,0.0496335,0.232463,1.64129,8.56102e-08,0.633997
158,16.6662,1,16.1471,46.5937,21.7629,14.0807,1.49827,0.0515052,0.233713,1.54761,8.88623e-08,0.652454
159,11.4061,1,15.9005,52.4561,21.7629,14.2854,1.45933,0.0466569,0.239928,1.73164,9.2754e-08,0.602164
160,10.8477,1,15.858,49.7651,21.7629,14.0798,1.50536,0.0452747,0.230597,1.69318,9.34829e-08,0.583696
161,0.828344,1,15.8364,45.8577,21.7629,15.2682,1.50536,0.0454169,0.227647,1.54193,7.68979e-08,0.575219
162,5.03391,1,15.7697,43.9823,21.7629,15.125,1.46557,0.05,0.223691,1.54717,8.17075e-08,0.57454
163,9.20511,1,15.7833,42.6559,21.7629,15.1817,1.52462,0.0469889,0.233492,1.49903,7.75356e-08,0.660037
164,7.95505,1,15.8902,41.7077,21.7629,14.1145,1.40962,0.0531438,0.230925,1.48855,7.8591e-08,0.667696
165,8.25043,1,15.8905,36.2117,21.7629,14.7467,1.54056,0.0486176,0.238364,1.39096,7.34764e-08,0.639306
166,1.93911,1,15.9395,36.1022,21.7629,15.1812,1.48737,0.0446834,0.246867,1.44989,7.47463e-08,0.6397
167,2.75328,1,15.9325,39.9046,21.7629,15.4183,1.44548,0.0491588,0.23309,1.47154,7.08059e-08,0.677648
168,-10.3518,1,15.9251,44.9165,21.7629,14.7492,1.4216,0.045009,0.236254,1.44069,6.10544e-08,0.650406
169,-5.32133,1,15.8962,43.1256,21.7629,14.3484,1.42166,0.0483396,0.229292,1.45657,6.92984e-08,0.626965
170,-0.254419,1,15.9004,48.7883,21.7629,15.2849,1.46701,0.0479371,0.232363,1.42783,6.80442e-08,0.661523
171,-5.93752,1,15.8277,41.4736,21.7629,15.5289,1.41498,0.0466953,0.232436,1.55452,6.81929e-08,0.605684
172,5.97389,1,15.9623,44.1982,21.7629,16.0294,1.57082,0.0461846,0.231821,1.41264,8.02107e-08,0.570439
173,-2.86205,1,15.6742,43.9194,21.7629,14.9027,1.43779,0.0476987,0.221496,1.43667,8.5475e-08,0.5411
174,7.95762,1,15.7711,48.0079,21.7629,14.9915,1.48132,0.0487945,0.226308,1.69461,8.35464e-08,0.561497
175,8.23909,1,15.6712,40.5324,21.7629,15.4793,1.52952,0.0471545,0.223615,1.54277,8.35841e-08,0.592711
176,12.9484,1,15.8061,46.2533,21.7629,15.2377,1.48736,0.0525925,0.231002,1.39107,8.25252e-08,0.677286
177,17.3253,1,15.8877,44.803,21.7629,15.0496,1.54138,0.0512776,0.228632,1.39512,8.82484e-08,0.682727
178,9.52633,1,15.8024,36.4187,21.7629,15.1484,1.49867,0.0469793,0.224446,1.30098,9.81886e-08,0.677297
179,16.8684,1,15.7597,39.5513,21.7629,15.3973,1.48,0.052552,0.230059,1.50043,9.44961e-08,0.637816
180,12.2985,1,15.7912,43.6784,21.7629,15.3005,1.4768,0.0533638,0.23264,1.61699,7.33124e-08,0.634022
181,6.1421,1,15.7224,46.9624,21.7629,16.4357,1.49206,0.04712,0.229469,1.77663,7.24786e-08,0.594041
182,0.775535,1,15.8564,51.9684,21.7629,16.1074,1.42444,0.0511151,0.230908,1.68326,6.56856e-08,0.597622
183,-0.969699,1,15.9785,57.8886,21.7629,16.1652,1.4559,0.0488163,0.228493,1.77889,6.42339e-08,0.56061
