trans_Cl_vs_SCRMGDL_abscissa,trans_Cl_vs_SCRMGDL_spline,trans_Cl_vs_SCRMGDL_regression,trans_Cl_vs_logtSCRMGDL_abscissa,trans_Cl_vs_logtSCRMGDL_spline,trans_Cl_vs_logtSCRMGDL_regression,trans_Q_vs_SCRMGDL_abscissa,trans_Q_vs_SCRMGDL_spline,trans_Q_vs_SCRMGDL_regression,trans_Q_vs_logtSCRMGDL_abscissa,trans_Q_vs_logtSCRMGDL_spline,trans_Q_vs_logtSCRMGDL_regression,trans_V1_vs_SCRMGDL_abscissa,trans_V1_vs_SCRMGDL_spline,trans_V1_vs_SCRMGDL_regression,trans_V1_vs_logtSCRMGDL_abscissa,trans_V1_vs_logtSCRMGDL_spline,trans_V1_vs_logtSCRMGDL_regression,trans_V2_vs_SCRMGDL_abscissa,trans_V2_vs_SCRMGDL_spline,trans_V2_vs_SCRMGDL_regression,trans_V2_vs_logtSCRMGDL_abscissa,trans_V2_vs_logtSCRMGDL_spline,trans_V2_vs_logtSCRMGDL_regression,split
0.659192,2.45214,2.52298,-0.0129323,2.55413,2.59983,0.659192,2.50399,3.21346,-0.0129323,3.22053,3.18532,0.659192,3.11032,3.21663,-0.0129323,3.16515,3.18968,0.659192,2.83754,2.42684,-0.0129323,2.26796,2.50921,All
0.666869,2.44585,2.51721,0.000874538,2.54428,2.59529,0.666869,2.5404,3.21535,0.000874538,3.16368,3.1833,0.666869,3.11273,3.21858,0.000874538,3.14481,3.18993,0.666869,2.78909,2.42038,0.000874538,2.27317,2.49954,All
0.674545,2.43956,2.51145,0.0146814,2.56766,2.59074,0.674545,2.5768,3.21725,0.0146814,2.92168,3.18128,0.674545,3.11513,3.22052,0.0146814,3.03716,3.19019,0.674545,2.74064,2.41393,0.0146814,2.19585,2.48987,All
0.682222,2.43327,2.50568,0.0284882,2.61621,2.5862,0.682222,2.61321,3.21915,0.0284882,2.92222,3.17927,0.682222,3.11753,3.22247,0.0284882,3.06951,3.19045,0.682222,2.69218,2.40747,0.0284882,2.16995,2.48021,All
0.689899,2.42699,2.49991,0.042295,2.67386,2.58166,0.689899,2.64962,3.22105,0.042295,3.0105,3.17725,0.689899,3.11994,3.22441,0.042295,3.1525,3.19071,0.689899,2.64373,2.40101,0.042295,2.16266,2.47054,All
0.697576,2.4207,2.49415,0.0561019,2.718,2.57712,0.697576,2.68603,3.22295,0.0561019,3.07076,3.17524,0.697576,3.12234,3.22636,0.0561019,3.22065,3.19097,0.697576,2.59528,2.39455,0.0561019,2.17355,2.46088,All
0.705253,2.41441,2.48838,0.0699087,2.68393,2.57257,0.705253,2.72243,3.22485,0.0699087,2.96891,3.17322,0.705253,3.12474,3.22831,0.0699087,3.2029,3.19123,0.705253,2.54683,2.38809,0.0699087,2.28966,2.45121,All
0.712929,2.40812,2.48261,0.0837155,2.64985,2.56803,0.712929,2.75884,3.22674,0.0837155,2.86705,3.1712,0.712929,3.12715,3.23025,0.0837155,3.18515,3.19149,0.712929,2.49837,2.38163,0.0837155,2.40577,2.44154,All
0.720606,2.40184,2.47685,0.0975224,2.61578,2.56349,0.720606,2.79525,3.22864,0.0975224,2.76519,3.16919,0.720606,3.12955,3.2322,0.0975224,3.16741,3.19175,0.720606,2.44992,2.37517,0.0975224,2.52189,2.43188,All
0.728283,2.39555,2.47108,0.111329,2.5817,2.55894,0.728283,2.83166,3.23054,0.111329,2.66333,3.16717,0.728283,3.13195,3.23414,0.111329,3.14966,3.19201,0.728283,2.40147,2.36871,0.111329,2.638,2.42221,All
0.73596,2.38926,2.46531,0.125136,2.54763,2.5544,0.73596,2.86806,3.23244,0.125136,2.56147,3.16516,0.73596,3.13436,3.23609,0.125136,3.13191,3.19227,0.73596,2.35302,2.36225,0.125136,2.75411,2.41255,All
0.743636,2.38298,2.45954,0.138943,2.51355,2.54986,0.743636,2.90447,3.23434,0.138943,2.45961,3.16314,0.743636,3.13676,3.23803,0.138943,3.11416,3.19253,0.743636,2.30456,2.35579,0.138943,2.87023,2.40288,All
0.751313,2.37669,2.45378,0.15275,2.47948,2.54532,0.751313,2.94088,3.23624,0.15275,2.35775,3.16112,0.751313,3.13916,3.23998,0.15275,3.09642,3.19279,0.751313,2.25611,2.34934,0.15275,2.98634,2.39322,All
0.75899,2.3704,2.44801,0.166557,2.46975,2.54077,0.75899,2.97729,3.23813,0.166557,2.38822,3.15911,0.75899,3.14157,3.24193,0.166557,3.0966,3.19305,0.75899,2.20766,2.34288,0.166557,2.94122,2.38355,All
0.766667,2.36411,2.44224,0.180363,2.46277,2.53623,0.766667,3.01369,3.24003,0.180363,2.43363,3.15709,0.766667,3.14397,3.24387,0.180363,3.09881,3.19331,0.766667,2.1592,2.33642,0.180363,2.87788,2.37388,All
0.774343,2.35783,2.43648,0.19417,2.4558,2.53169,0.774343,3.0501,3.24193,0.19417,2.47904,3.15508,0.774343,3.14637,3.24582,0.19417,3.10102,3.19357,0.774343,2.11075,2.32996,0.19417,2.81455,2.36422,All
0.78202,2.35154,2.43071,0.207977,2.44882,2.52714,0.78202,3.08651,3.24383,0.207977,2.52445,3.15306,0.78202,3.14878,3.24776,0.207977,3.10323,3.19383,0.78202,2.0623,2.3235,0.207977,2.75122,2.35455,All
0.789697,2.34525,2.42494,0.221784,2.44184,2.5226,0.789697,3.12292,3.24573,0.221784,2.56985,3.15104,0.789697,3.15118,3.24971,0.221784,3.10544,3.19408,0.789697,2.01385,2.31704,0.221784,2.68789,2.34489,All
0.797374,2.33896,2.41918,0.235591,2.43486,2.51806,0.797374,3.15932,3.24763,0.235591,2.61526,3.14903,0.797374,3.15358,3.25165,0.235591,3.10765,3.19434,0.797374,1.96539,2.31058,0.235591,2.62455,2.33522,All
0.805051,2.33268,2.41341,0.249397,2.42789,2.51352,0.805051,3.19573,3.24953,0.249397,2.66067,3.14701,0.805051,3.15599,3.2536,0.249397,3.10987,3.1946,0.805051,1.91694,2.30412,0.249397,2.56122,2.32556,All
0.812727,2.32639,2.40764,0.263204,2.42091,2.50897,0.812727,3.23214,3.25142,0.263204,2.70608,3.14499,0.812727,3.15839,3.25554,0.263204,3.11208,3.19486,0.812727,1.86849,2.29766,0.263204,2.49789,2.31589,All
0.820404,2.32018,2.40187,0.277011,2.41393,2.50443,0.820404,3.26772,3.25332,0.277011,2.75149,3.14298,0.820404,3.16145,3.25749,0.277011,3.11429,3.19512,0.820404,1.8243,2.29121,0.277011,2.43456,2.30622,All
0.828081,2.31543,2.39611,0.290818,2.40695,2.49989,0.828081,3.28844,3.25522,0.290818,2.7969,3.14096,0.828081,3.17625,3.25944,0.290818,3.1165,3.19538,0.828081,1.85689,2.28475,0.290818,2.37122,2.29656,All
0.835758,2.31068,2.39034,0.304625,2.39998,2.49534,0.835758,3.30916,3.25712,0.304625,2.84231,3.13895,0.835758,3.19105,3.26138,0.304625,3.11871,3.19564,0.835758,1.88947,2.27829,0.304625,2.30789,2.28689,All
0.843434,2.30592,2.38457,0.318432,2.393,2.4908,0.843434,3.32989,3.25902,0.318432,2.88772,3.13693,0.843434,3.20585,3.26333,0.318432,3.12092,3.1959,0.843434,1.92206,2.27183,0.318432,2.24456,2.27723,All
0.851111,2.30117,2.37881,0.332238,2.38602,2.48626,0.851111,3.35061,3.26092,0.332238,2.93313,3.13491,0.851111,3.22065,3.26527,0.332238,3.12313,3.19616,0.851111,1.95465,2.26537,0.332238,2.18123,2.26756,All
0.858788,2.29642,2.37304,0.346045,2.37904,2.48172,0.858788,3.37133,3.26281,0.346045,2.97853,3.1329,0.858788,3.23545,3.26722,0.346045,3.12534,3.19642,0.858788,1.98723,2.25891,0.346045,2.11789,2.2579,All
0.866465,2.29166,2.36727,0.359852,2.37207,2.47717,0.866465,3.39205,3.26471,0.359852,3.02394,3.13088,0.866465,3.25025,3.26916,0.359852,3.12755,3.19668,0.866465,2.01982,2.25245,0.359852,2.05456,2.24823,All
0.874141,2.28691,2.36151,0.373659,2.36509,2.47263,0.874141,3.41277,3.26661,0.373659,3.06935,3.12887,0.874141,3.26505,3.27111,0.373659,3.12976,3.19694,0.874141,2.0524,2.24599,0.373659,1.99123,2.23856,All
0.881818,2.28216,2.35574,0.387466,2.35811,2.46809,0.881818,3.43349,3.26851,0.387466,3.11476,3.12685,0.881818,3.27985,3.27306,0.387466,3.13197,3.1972,0.881818,2.08499,2.23953,0.387466,1.9279,2.2289,All
0.889495,2.27741,2.34997,0.401273,2.35113,2.46354,0.889495,3.45422,3.27041,0.401273,3.16017,3.12483,0.889495,3.29465,3.275,0.401273,3.13418,3.19746,0.889495,2.11758,2.23308,0.401273,1.86457,2.21923,All
0.897172,2.27265,2.3442,0.415079,2.34415,2.459,0.897172,3.47494,3.27231,0.415079,3.20558,3.12282,0.897172,3.30945,3.27695,0.415079,3.13639,3.19772,0.897172,2.15016,2.22662,0.415079,1.80123,2.20957,All
0.904848,2.2679,2.33844,0.428886,2.33809,2.45446,0.904848,3.49566,3.2742,0.428886,3.24023,3.1208,0.904848,3.32425,3.27889,0.428886,3.15557,3.19797,0.904848,2.18275,2.22016,0.428886,1.83274,2.1999,All
0.912525,2.26315,2.33267,0.442693,2.33224,2.44992,0.912525,3.51638,3.2761,0.442693,3.27233,3.11879,0.912525,3.33905,3.28084,0.442693,3.17878,3.19823,0.912525,2.21533,2.2137,0.442693,1.88684,2.19023,All
0.920202,2.25839,2.3269,0.4565,2.32639,2.44537,0.920202,3.5371,3.278,0.4565,3.30442,3.11677,0.920202,3.35385,3.28278,0.4565,3.20199,3.19849,0.920202,2.24792,2.20724,0.4565,1.94094,2.18057,All
0.927879,2.25364,2.32114,0.470307,2.32054,2.44083,0.927879,3.55782,3.2799,0.470307,3.33651,3.11475,0.927879,3.36865,3.28473,0.470307,3.22521,3.19875,0.927879,2.28051,2.20078,0.470307,1.99503,2.1709,All
0.935556,2.24889,2.31537,0.484114,2.31469,2.43629,0.935556,3.57855,3.2818,0.484114,3.36861,3.11274,0.935556,3.38345,3.28667,0.484114,3.24842,3.19901,0.935556,2.31309,2.19432,0.484114,2.04913,2.16124,All
0.943232,2.24414,2.3096,0.49792,2.30885,2.43174,0.943232,3.59927,3.2837,0.49792,3.4007,3.11072,0.943232,3.39825,3.28862,0.49792,3.27164,3.19927,0.943232,2.34568,2.18786,0.49792,2.10323,2.15157,All
